COUNTRY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Euro area,98.2806015,98.37608337,98.42797852,98.52062988,98.56268311,98.54646301,98.65450287,98.63316345,98.65209961,98.61392212,98.64772797,98.77452087,98.81926727,98.86476898,98.88670349,98.91282654,98.9465332,,
Eritrea,,,52.51395035,,,,,,64.6629715,,,,,,,,,,
Spain,,,,,97.16512299,97.75068665,,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,
Estonia,99.76719666,,,,,,,,,,,99.88578796,,,,,,,
Ethiopia,,,,,35.90000153,29.8203392,,38.99597931,,,,,,,,,,,
European Union,98.5303421,98.61363983,98.66837311,98.7472229,98.79398346,98.78766632,98.86331177,98.85320282,98.87294006,98.88926697,98.91522217,99.00244904,99.03498077,99.06806946,99.08535767,99.10533905,99.12998962,,
Fragile and conflict affected situations,63.02627945,63.82038116,64.15432739,64.30351257,64.60603333,64.79390717,62.87311935,62.93235016,62.54975891,60.69242859,60.99425125,60.33710098,60.79124832,60.52207184,61.3296814,61.68164825,61.9527092,,
Finland,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,82.28379822,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
Georgia,,,99.65235138,,,,,,,,,,,,99.58618927,,,,
Ghana,57.89746857,,,,,,,,,,71.49707031,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,
Guinea,,,,29.70401955,,,,,,,25.30773926,,,,32.00386047,,,,
"Gambia, The",36.81772995,,,,,,,,,,,,,41.95005035,,,,,
Guinea-Bissau,41.35776901,,,,,,,,,,,,,,45.5811615,,,,
Equatorial Guinea,88.3082962,,,,,,,,,,,,,,95,,,,
Greece,,95.99436188,,,,93.04431152,,93.93154907,,93.90511322,,97.36873627,,,,,,,
Grenada,,,,,98.59999847,,,,,,,,,,98.59999847,,,,
Greenland,,,,,,,,,,,,,,,,,,,
Guatemala,,,69.10173035,,,,,,,,,,78.26486206,77.0386734,81.2858963,,,,
Guam,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,84.99401093,,,,,85.63973236,,,,
High income,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,
Honduras,,80.0110321,,,,,,83.58898926,,,84.75536346,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,,
Heavily indebted poor countries (HIPC),50.65658951,51.510849,51.99348068,52.79801178,54.62963104,53.84912872,52.73905945,54.09223175,53.55455017,54.30982971,54.82558823,56.89923096,58.00543976,58.50273895,59.41667938,59.90456009,60.77072906,,
Croatia,,98.14668274,,,,,,,,,,99.12535858,,,,,,,
Haiti,,,,58.7439003,,,48.68502045,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,99.09999847,,,,
IBRD only,82.1662674,82.47650909,82.90265656,83.56735229,84.04602814,84.14212799,84.12843323,85.19037628,85.56507111,85.96253967,86.58421326,86.95781708,87.28244781,87.49162292,87.88014221,88.19512939,88.47576141,,
IDA & IBRD total,77.46237183,77.80802155,78.24085999,78.8758316,79.4770813,79.46507263,79.48223877,80.13726807,80.55120087,80.96079254,81.48665619,81.50875854,82.45983124,82.62783813,83.03592682,83.30718231,83.60389709,,
IDA total,58.82061005,59.45254135,60.04788971,60.69960022,61.91181183,61.63650131,61.92367935,61.21482086,61.96030045,62.61343002,63.0050087,61.98994827,65.41166687,65.6730423,66.38857269,66.74758911,67.32945251,,
IDA blend,66.00852966,66.48757935,67.01119995,67.43540192,68.39317322,68.77011108,70.32901001,69.14340973,69.00952148,69.78101349,70.0847168,70.09351349,71.02046967,70.87380219,71.57446289,71.60798645,72.10038757,,
Indonesia,,,,,90.38478851,,91.98226929,,92.19229889,92.58170319,,92.81191254,,,95.11621857,95.21793365,95.37696838,,
IDA only,54.27248001,55.00999832,55.66175079,56.46831131,57.85123825,57.17919159,56.68516159,56.28747177,57.59355164,58.18980026,58.65433121,57.04047012,62.00720978,62.53667831,63.28253937,63.85725021,64.51302338,,
